QueryText,KccAns
SQLStatement.execute() - multiple queries in one statement,"<p>I've written a database generation script in <a href=""http://en.wikipedia.org/wiki/SQL"">SQL</a> and want to execute it in my <a href=""http://en.wikipedia.org/wiki/Adobe_Integrated_Runtime"">Adobe AI..."
Good branching and merging tutorials for TortoiseSVN?,"<p>Are there any really good tutorials explaining <a href=""http://svnbook.red-bean.com/en/1.8/svn.branchmerge.html"" rel=""nofollow"">branching and merging</a> with Apache Subversion? </p> <p>All the be..."
ASP.NET Site Maps,<p>Has anyone got experience creating <strong>SQL-based ASP.NET</strong> site-map providers?</p> <p>I've got the default XML file <code>web.sitemap</code> working properly with my Menu and <strong>Si...
Function for creating color wheels,"<p>This is something I've pseudo-solved many times and never quite found a solution. That's stuck with me. The problem is to come up with a way to generate <code>N</code> colors, that are as distingui..."
Adding scripting functionality to .NET applications,"<p>I have a little game written in C#. It uses a database as back-end. It's a <a href=""http://en.wikipedia.org/wiki/Collectible_card_game"">trading card game</a>, and I wanted to implement the functio..."
Should I use nested classes in this case?,"<p>I am working on a collection of classes used for video playback and recording. I have one main class which acts like the public interface, with methods like <code>play()</code>, <code>stop()</code>..."
Homegrown consumption of web services,"<p>I've been writing a few web services for a .net app, now I'm ready to consume them. I've seen numerous examples where there is homegrown code for consuming the service as opposed to using the auto ..."
Deploying SQL Server Databases from Test to Live,"<p>I wonder how you guys manage deployment of a database between 2 SQL Servers, specifically SQL Server 2005. Now, there is a development and a live one. As this should be part of a buildscript (stand..."
Automatically update version number,<p>I would like the version property of my application to be incremented for each build but I'm not sure on how to enable this functionality in Visual Studio (2005/2008). I have tried to specify the A...
Visual Studio Setup Project - Per User Registry Settings,"<p>I'm trying to maintain a Setup Project in <code>Visual Studio 2003</code> (yes, it's a legacy application). The problem we have at the moment is that we need to write registry entries to <code>HKCU..."
How do I connect to a database and loop over a recordset in C#?,<p>What's the simplest way to connect and query a database for a set of records in C#?</p>
"How to get the value of built, encoded ViewState?","<p>I need to grab the base64-encoded representation of the ViewState. Obviously this would not be available until fairly late in the request lifecycle, which is OK.</p> <p>For example, if the output ..."
How do I delete a file which is locked by another process in C#?,"<p>I'm looking for a way to delete a file which is locked by another process using C#. I suspect the method must be able to find which process is locking the file (perhaps by tracking the handles, alt..."
Process size on UNIX,"<p>What is the correct way to get the process size on <code>Solaris, HP-UX</code> and <code>AIX</code>? Should we use <code>top</code> or <code>ps -o vsz</code> or something else?</p>"
Use SVN Revision to label build in CCNET,<p>I am using CCNET on a sample project with SVN as my source control. CCNET is configured to create a build on every check in. CCNET uses MSBuild to build the source code.</p> <p>I would like to u...
How to make subdomain user accounts in a webapp,"<p>I am looking to allow users to control of subdomain of an app I am toying with, much like Basecamp where it is <code>customusername.seework.com</code>.</p> <p>What is required on the <code>DNS</co..."
Is nAnt still supported and suitable for .net 3.5/VS2008?,"<p>I am using MSBuild to build my stuff. I want to use CruiseControl.net as by Build Server.</p> <p>Now, CCNET refers nAnt a lot, but it looks as if ccnet can do most of the stuff nant could do thr..."
"Is Windows Server 2008 ""Server Core"" appropriate for a SQL Server instance?","<p>I'm setting up a dedicated SQL Server 2005 box on Windows Server 2008 this week, and would like to pare it down to be as barebones as possible while still being fully functional.</p> <p>To that en..."
What is the best way to copy a database?,"<p>I always create a new empty database, after that backup and restore of the existing database into it, but is this really the best way? As it seems very error prone and over complicated for me.</p>"
Can I logically reorder columns in a table?,"<p>If I'm adding a column to a table in Microsoft SQL Server, can I control where the column is displayed logically in queries?</p> <p>I don't want to mess with the physical layout of columns on disk..."
.NET Unit Testing packages?,"<p>Getting back into a bit more .NET after a few-years of not using it full-time, and wondering what the good unit testing packages are these days.</p> <p>I'm familiar with NUnit (a few years ago), a..."
Federated (Synced) Subversion servers?,"<p>Is it possible to create ""federated"" Subversion servers? As in one server at location A and another at location B that sync up their local versions of the repository automatically. That way when ..."
What language do you use for PostgreSQL triggers and stored procedures?,"<p>PostgreSQL is interesting in that it supports several languages for writing stored procedures. Which one do you use, and why?</p>"
Convert HashBytes to VarChar,"<p>I want to get the MD5 Hash of a string value in SQL Server 2005. I do this with the following command:</p> <pre><code>SELECT HashBytes('MD5', 'HelloWorld') </code></pre> <p>However, this returns ..."
Datatable vs Dataset,"<p>I currently use a DataTable to get results from a database which I can use in my code.</p> <p>However, many example on the web show using a DataSet instead and accessing the table(s) through the c..."
How do I traverse a collection in classic ASP?,<P>I want to be able to do:</P><PRE><CODE>For Each thing In things End For </CODE></PRE> <P>CLASSIC ASP - NOT .NET!</P>
How do you disable browser Autocomplete on web form field / input tag?,<p>How do you disable <code>autocomplete</code> in the major browsers for a specific <code>input</code> (or <code>form field</code>)?</p>
Good STL-like library for C,"<p>What are good libraries for C with datastructures like vectors, deques, stacks, hashmaps, treemaps, sets, etc.? Plain C, please, and platform-independent.</p>"
What are effective options for embedding video in an ASP.NET web site?,"<p>A quick glance at the present-day internet would seem to indicate that Adobe Flash is the obvious choice for embedding video in a web page. Is this accurate, or are they other effective choices? ..."
What are your favorite Powershell Cmdlets?,"<p>I just found /n softwares free Powershell NetCmdlets, and after playing with them I love the functionality they bring to the command line. So it raises the question what are your favorite Cmdlets,..."
Data verifications in Getter/Setter or elsewhere?,"<p>I'm wondering if it's a good idea to make <strong>verifications</strong> in <strong>getters</strong> and <strong>setters</strong>, or elsewhere in the code.</p> <p>This might surprise you be when ..."
Global Exception Handling for winforms control,"<p>When working on ASP.NET 1.1 projects I always used the Global.asax to catch all errors. I'm looking for a similar way to catch all exceptions in a Windows Forms user control, which ends up being a ..."
Converting ARBG to RGB with alpha blending,"<p>Let's say that we have an ARGB color:</p> <pre><code>Color argb = Color.FromARGB(127, 69, 12, 255); //Light Urple. </code></pre> <p>When this is painted on top of an existing color, the colors wi..."
Paging SQL Server 2005 Results,"<p>How do I page results in SQL Server 2005?</p> <p>I tried it in SQL Server 2000, but there was no reliable way to do this. I'm now wondering if SQL Server 2005 has any built in method?</p> <p>What..."
MySQL/Apache Error in PHP MySQL query,<p>I am getting the following error:</p> <blockquote> <p>Access denied for user 'apache'@'localhost' (using password: NO)</p> </blockquote> <p>When using the following code:</p> <pre><code>&lt;?p...
My website got hacked... What should I do?,"<p>My dad called me today and said people going to his website were getting 168 viruses trying to download to their computers. He isn't technical at all, and built the whole thing with a WYSIWYG edito..."
How to set up unit testing for Visual Studio C++,<p>I'm having trouble figuring out how to get the testing framework set up and usable in Visual Studio 2008 for C++ presumably with the built-in unit testing suite.</p> <p>Any links or tutorials woul...
Anyone soloing using fogbugz?,<p>Is there anyone working solo and using fogbugz out there? I'm interested in personal experience/overhead versus paper.</p> <p>I am involved in several projects and get pretty hammered with lots ...
How do you pack a visual studio c++ project for release?,<p>I'm wondering how to make a release build that includes all necessary dll files into the .exe so the program can be run on a non-development machine without it having to install the microsoft redis...
Peak detection of measured signal,<p>We use a data acquisition card to take readings from a device that increases its signal to a peak and then falls back to near the original value. To find the peak value we currently search the arra...
How do you get leading wildcard full-text searches to work in SQL Server?,"<p><strong>Note:</strong> I <em>am</em> using SQL's Full-text search capabilities, CONTAINS clauses and all - the * is the wildcard in full-text, % is for LIKE clauses only.</p> <p>I've read in sever..."
How do I Transform Sql Columns into Rows?,<p>I have a very simple problem which requires a very quick and simple solution in SQL Server 2005.</p> <p>I have a table with x Columns. I want to be able to select one row from the table and then t...
"What does the term ""BODMAS"" mean?",<p>What is BODMAS and why is it useful in programming?</p>
How do I run Rake tasks within a Ruby script?,<p>I have a <code>Rakefile</code> with a Rake task that I would normally call from the command line:</p> <pre><code>rake blog:post Title </code></pre> <p>I'd like to write a Ruby script that calls t...
Is there a WMI Redistributable Package?,<p>I've been working on a project that accesses the WMI to get information about the software installed on a user's machine. We've been querying Win32_Product only to find that it doesn't exist in 64-...
What code analysis tools do you use for your Java projects?,"<p>What code analysis tools do you use on your Java projects?</p> <p>I am interested in all kinds</p> <ul> <li>static code analysis tools (FindBugs, PMD, and any others)</li> <li>code coverage tools..."
What program can I use to generate diagrams of SQL view/table structure?,"<p>I've been tasked with redesigning part of a ms-sql database structure which currently involves a lot of views, some of which contain joins to other views. </p> <p>Anyway, I wonder if anyone here c..."
How to learn ADO.NET,"<p>I need to learn ADO.NET to build applications based on MS Office. I have read a good deal about ADO.NET in the MSDN Library, but everything seems rather messy to me.</p> <p>What are the basics one..."
The Difference Between a DataGrid and a GridView in ASP.NET?,"<p>I've been doing ASP.NET development for a little while now, and I've used both the GridView and the DataGrid controls before for various things, but I never could find a really good reason to use o..."
ASP.Net 2.0 Application without Business Logic Layer?,"<p>Is it ""acceptable"" to have an <strong>ASP.Net 2.0</strong> application without the BLL (Business Logic Layer) as the following?</p> <ol> <li>SQL Server Data Storage &amp; Stored Procedures</li> <l..."
How to easily consume a web service from PHP,"<p>Is there available any tool for PHP which can be used to generate code for consuming a <a href=""http://en.wikipedia.org/wiki/Web_service"">web service</a> based on its <a href=""http://en.wikipedia.o..."
How can I create Prototype Methods (like JavaScript) in C#.Net?,"<p>How is it possible to make prototype methods in C#.Net?</p> <p>In JavaScript, I can do the following to create a trim method for the string object:</p> <pre><code>String.prototype.trim = function..."
"How can I Java webstart multiple, dependent, native libraries?","<p>Example: I have two shared objects (same should apply to .dlls). The first shared object is from a third-party library, we'll call it libA.so. I have wrapped some of this with JNI and created my ow..."
DVCS Choices - What's good for Windows?,"<p>So I want to get a project on a distributed version control system, such as mercurial, git, or bazaar. The catch is that I need the Windows support to be good, i.e. no instructions that start off ..."
C# and Arrow Keys,<p>I am new to C# and am doing some work in an existing application. I have a DirectX viewport that has components in it that I want to be able to position using arrow keys.</p> <p>Currently I am ove...
Authoritative source on XML-sig,<p>We have a question with regards to XML-sig and need detail about the optional elements as well as some of the canonicalization and transform stuff. We're writing a spec for a very small XML-syntax...
